"","SYMBOL","ENTREZID"
"248","SLC14A1","6563"
"249","FANCB","2187"
"250","C3","718"
"251","H2BC14","8342"
"252","KCNN4","3783"
"253","MCM2","4171"
"254","GRIK2","2898"
"255","CDCA4","55038"
"256","LY96","23643"
"257","RAPH1","65059"
"258","PCNA","5111"
"259","TNIK","23043"
"260","RAD54L","8438"
"261","LOC105371030","105371030"
"262","HMGA2","8091"
"263","SPON2","10417"
"264","ANXA9","8416"
"265","LRP1","4035"
"266","CYP1B1","1545"
"267","CXADR","1525"
"268","HSD17B3","3293"
"269","CDH10","1008"
"270","CORO2B","10391"
"271","RAB3B","5865"
"272","LMF1","64788"
"273","TRIP13","9319"
"274","ITGB5","3693"
"275","PLPP3","8613"
"276","SLFN11","91607"
"277","HIVEP3","59269"
"278","ARID5B","84159"
"279","FANCI","55215"
"280","CENPK","64105"
"281","CTPS1","1503"
"282","CDCA7","83879"
"283","TICRR","90381"
"284","GALNT14","79623"
"285","IL1RAP","3556"
"286","CENPU","79682"
"287","DNAJC1","64215"
"288","PLSCR4","57088"
"289","HK2","3099"
"290","TANC2","26115"
"291","TRIM2","23321"
"292","EFEMP2","30008"
"293","ABCC2","1244"
"294","CLYBL","171425"
"295","PRIM1","5557"
"296","CLU","1191"
"297","SLC37A3","84255"
"298","IFITM1","8519"
"299","ADD3","120"
"300","USP2","9099"
"301","PKMYT1","9088"
"302","DALRD3","55152"
"303","KCNS3","3790"
"304","ICA1","3382"
"305","CDC6","990"
"306","ALPK1","80216"
"307","PLCD4","84812"
"308","GNAI1","2770"
"309","HBP1","26959"
"310","FAT4","79633"
"311","CLIP3","25999"
"312","BRIP1","83990"
"313","ACTN1","87"
"314","POLD3","10714"
"315","CRHBP","1393"
"316","BAZ2B","29994"
"317","SORBS1","10580"
"318","DKK3","27122"
"319","APOD","347"
"320","EBNA1BP2","10969"
"321","NEBL","10529"
"322","HELLS","3070"
"323","RFWD3","55159"
"324","KIF18B","146909"
"325","EPHA2","1969"
"326","TTLL1","25809"
"327","WIPF1","7456"
"328","CCNA2","890"
"329","SAMD9L","219285"
"330","PCDH15","65217"
"331","FIGNL1","63979"
"332","TYMS","7298"
"333","ALDH3B1","221"
"334","MTMR11","10903"
"335","SIPA1L2","57568"
"336","NCAPG2","54892"
"337","SLC7A8","23428"
"338","HSD17B8","7923"
"339","ANKRD1","27063"
"340","EGFR","1956"
"341","UBA7","7318"
"342","ARSD","414"
"343","ABAT","18"
"344","OLFML2B","25903"
"345","GPNMB","10457"
"346","FAM83D","81610"
"347","H3C12","8356"
"348","CHRNA5","1138"
"349","H2AC16","8332"
"350","SULF1","23213"
"351","PNRC1","10957"
"352","STIL","6491"
"353","ZNF724","440519"
"354","CDK2","1017"
"355","NCAPD3","23310"
"356","ZFP36L2","678"
"357","GNE","10020"
"358","PCDH7","5099"
"359","UGT2B7","7364"
"360","SHB","6461"
"361","TPPP3","51673"
"362","HJURP","55355"
"363","BAIAP2L1","55971"
"364","IFIT2","3433"
"365","IL1RL1","9173"
"366","RPE65","6121"
"367","NCALD","83988"
"368","PRKN","5071"
"369","RAD18","56852"
"370","DHX58","79132"
"371","RFC3","5983"
"372","NEDD4L","23327"
"373","HHLA3","11147"
"374","RANBP1","5902"
"375","RAB27B","5874"
"376","MINDY1","55793"
"377","H2AC8","3012"
"378","MCM8","84515"
"379","C12orf76","400073"
"380","CCDC146","57639"
"381","UBE2T","29089"
"382","BOP1","23246"
"383","KCNJ10","3766"
"384","H2BC8","8339"
"385","PLXNB3","5365"
"386","CKAP2L","150468"
"387","CDR1","1038"
"388","CCN1","3491"
"389","GMNN","51053"
"390","POLA2","23649"
"391","CALCRL","10203"
"392","EXOSC9","5393"
"393","NEIL3","55247"
